com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count,proportion
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_0_4_years,persons,1390.5590456,0.06142154367211978
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_10_14_years,persons,1484.2702127,0.06556080303029713
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_15_19_years,persons,1287.2732853,0.05685937074098959
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_20_24_years,persons,1256.5720328,0.05550328426110633
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_25_29_years,persons,1480.2991995,0.06538540180482733
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_30_34_years,persons,1564.230475,0.0690926794784306
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_35_39_years,persons,1600.3407549,0.07068768484041674
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_40_44_years,persons,1465.0382109,0.06471131789538055
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_45_49_years,persons,1445.6791871,0.0638562221484263
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_50_54_years,persons,1574.8049627,0.06955975878738263
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_55_59_years,persons,1555.1626284,0.06869214910345924
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_5_9_years,persons,1515.3008882,0.06693144025453397
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_60_64_years,persons,1380.3973572,0.06097269787170735
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_65_69_years,persons,1091.5734451,0.04821523130692142
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_70_74_years,persons,890.5005326,0.03933376114175473
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-five-year,age_75_79_years,persons,730.9016775,0.032284216514676174
