com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_0_4_years,persons,1390.5590456
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_10_14_years,persons,1484.2702127
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_15_19_years,persons,1287.2732853
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_20_24_years,persons,1256.5720328
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_25_29_years,persons,1480.2991995
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_30_34_years,persons,1564.230475
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_35_39_years,persons,1600.3407549
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_40_44_years,persons,1465.0382109
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_45_49_years,persons,1445.6791871
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_50_54_years,persons,1574.8049627
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_55_59_years,persons,1555.1626284
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_5_9_years,persons,1515.3008882
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_60_64_years,persons,1380.3973572
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_65_69_years,persons,1091.5734451
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_70_74_years,persons,890.5005326
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_75_79_years,persons,730.9016775
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_80_84_years,persons,484.6315246
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-five-year,age_85_plus_years,persons,442.0623898
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_0_4_years,persons,43466
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_10_14_years,persons,48668
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_15_19_years,persons,44214
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_20_24_years,persons,48843
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_25_29_years,persons,49509
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_30_34_years,persons,52420
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_35_39_years,persons,51292
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_40_44_years,persons,48865
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_45_49_years,persons,47762
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_50_54_years,persons,51814
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_55_59_years,persons,51977
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_5_9_years,persons,47909
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_60_64_years,persons,45859
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_65_69_years,persons,37542
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_70_74_years,persons,34120
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_75_79_years,persons,27839
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_80_84_years,persons,18382
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-five-year,age_85_plus_years,persons,17226
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_0_4_years,persons,113882
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_10_14_years,persons,126937
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_15_19_years,persons,113265
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_20_24_years,persons,111373
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_25_29_years,persons,116455
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_30_34_years,persons,126055
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_35_39_years,persons,127195
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_40_44_years,persons,122144
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_45_49_years,persons,121558
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_50_54_years,persons,130918
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_55_59_years,persons,129491
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_5_9_years,persons,124453
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_60_64_years,persons,113092
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_65_69_years,persons,93481
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_70_74_years,persons,83531
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_75_79_years,persons,66319
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_80_84_years,persons,43844
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,nation,age-five-year,age_85_plus_years,persons,39416
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_0_years,persons,276.9319084
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_10_years,persons,295.7106355
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_11_years,persons,302.652208
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_12_years,persons,304.4548774
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_13_years,persons,298.0619037
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_14_years,persons,283.3905881
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_15_years,persons,244.0900316
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_16_years,persons,289.9092368
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_17_years,persons,283.2021149
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_18_years,persons,258.502583
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_19_years,persons,211.569319
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_1_year,persons,294.0778405
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_20_years,persons,209.0172903
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_21_years,persons,228.0671702
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_22_years,persons,227.8531723
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_23_years,persons,283.2618244
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_24_years,persons,308.3725756
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_25_years,persons,303.6537752
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_26_years,persons,283.778668
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_27_years,persons,286.5395044
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_28_years,persons,296.9873798
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_29_years,persons,309.3398721
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_2_years,persons,249.5170059
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_30_years,persons,305.2924083
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_31_years,persons,307.6100079
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_32_years,persons,291.7502007
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_33_years,persons,345.1450322
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_34_years,persons,314.4328259
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_35_years,persons,340.5528907
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_36_years,persons,330.5974827
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_37_years,persons,322.4049982
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_38_years,persons,299.5519621
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_39_years,persons,307.2334212
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_3_years,persons,302.2817232
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_40_years,persons,283.6550169
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_41_years,persons,313.8693673
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_42_years,persons,286.5013937
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_43_years,persons,289.8486102
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_44_years,persons,291.1638228
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_45_years,persons,260.0110464
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_46_years,persons,287.9104853
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_47_years,persons,287.9807574
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_48_years,persons,306.817441
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_49_years,persons,302.959457
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_4_years,persons,267.7505676
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_50_years,persons,308.3577735
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_51_years,persons,322.6053989
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_52_years,persons,310.3381526
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_53_years,persons,336.7473343
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_54_years,persons,296.7563034
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_55_years,persons,290.9397943
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_56_years,persons,348.13383
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_57_years,persons,331.2561779
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_58_years,persons,300.3856391
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_59_years,persons,284.4471871
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_5_years,persons,291.0223685
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_60_years,persons,307.3691777
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_61_years,persons,270.177928
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_62_years,persons,265.4358112
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_63_years,persons,274.9904336
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_64_years,persons,262.4240067
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_65_years,persons,245.8507752
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_66_years,persons,235.6868065
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_67_years,persons,216.5018929
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_68_years,persons,209.3887834
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_69_years,persons,184.1451871
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_6_years,persons,303.2232041
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_70_years,persons,183.5562283
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_71_years,persons,198.020643
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_72_years,persons,173.8205909
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_73_years,persons,179.7130665
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_74_years,persons,155.3900039
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_75_years,persons,169.4444725
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_76_years,persons,164.3848285
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_77_years,persons,140.5642905
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_78_years,persons,139.0675091
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_79_years,persons,117.4405769
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_7_years,persons,304.4285891
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_80_years,persons,101.0554755
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_81_years,persons,98.2509338
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_82_years,persons,97.5331541
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_83_years,persons,88.9665142
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_84_years,persons,98.825447
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_85_years,persons,442.0623898
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_8_years,persons,306.5724513
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,centre-of-mission,age-single-year,age_9_years,persons,310.0542752
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_0_years,persons,7981
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_10_years,persons,10026
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_11_years,persons,9766
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_12_years,persons,9884
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_13_years,persons,9705
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_14_years,persons,9287
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_15_years,persons,8721
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_16_years,persons,8844
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_17_years,persons,8657
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_18_years,persons,8747
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_19_years,persons,9245
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_1_year,persons,8616
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_20_years,persons,9499
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_21_years,persons,9370
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_22_years,persons,9965
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_23_years,persons,10007
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_24_years,persons,10002
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_25_years,persons,9830
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_26_years,persons,9713
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_27_years,persons,9873
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_28_years,persons,9875
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_29_years,persons,10218
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_2_years,persons,8889
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_30_years,persons,10463
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_31_years,persons,10358
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_32_years,persons,10472
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_33_years,persons,10452
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_34_years,persons,10675
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_35_years,persons,10538
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_36_years,persons,10305
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_37_years,persons,10102
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_38_years,persons,10242
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_39_years,persons,10105
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_3_years,persons,8706
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_40_years,persons,10279
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_41_years,persons,10449
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_42_years,persons,9738
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_43_years,persons,9260
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_44_years,persons,9139
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_45_years,persons,9181
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_46_years,persons,9159
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_47_years,persons,9621
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_48_years,persons,9861
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_49_years,persons,9940
